;BIP Version: 05.07.00
;Revision Number: 2.0
;Last Changed: Fri Mar 26 10:18:32 2004
;By: BMW EA-33 Muellerwiebus, BMW TI-431 Schiefer, BMW TI-431 Schall
;Package Version: 00000000

;ECU:MS 43.0 fuer M54 mit EWS 3
;ORIGIN:BMW TI-431 Schaller
;REVISION:2.00
;AUTHOR:BMW EA-33 Muellerwiebus, BMW TI-431 Schiefer, BMW TI-431 Schaller
;ECUCOMMENT:


TBEG "FORTTEXTE"
HEAD "ORT", "ORTTEXT", "UW_1", "UW_2", "UW_3", "UW_4"
LINE "0xC5", "Umgebungsdrucksensor", "0x24", "0x1C", "0x0B", "0x5F"
LINE "0xC6", "Kat-Wirkungsgrad bei Anspringzeit Bk1", "0x24", "0x1C", "0x36", "0x3D"
LINE "0xC7", "Kat-Wirkungsgrad bei Anspringzeit Bk2", "0x24", "0x1C", "0x36", "0x3D"
LINE "0xCA", "Lambdaregelgrenze Bank1", "0x24", "0x36", "0x2D", "0x5B"
LINE "0xCB", "Lambdaregelgrenze Bank2", "0x24", "0x36", "0x2E", "0x5C"
LINE "0xCC", "Leerlaufdrehzahl", "0x24", "0x3C", "0x14", "0x1C"
LINE "0xD1", "EWS-Code", "0x5E", "0x4E", "0x36", "0x24"
LINE "0xD2", "ZSR Fehler (>2 Zyl.)", "0x24", "0x1C", "0x36", "0x4E"
LINE "0xD3", "LLFS Fehler in der Mechanik", "0x1E", "0x24", "0x28", "0x14"
LINE "0xD6", "Tachosignal unplausibel", "0x24", "0x1C", "0x13", "0x4E"
LINE "0xD7", "Nach-Kat-Sonde, Aktivitaetsueberpruefung BK1 (Sonde 3)", "0x53", "0x55", "0x1C", "0x24"
LINE "0xD8", "Nach-Kat-Sonde, Aktivitaetsueberpruefung BK2 (Sonde 4)", "0x53", "0x55", "0x1C", "0x24"
LINE "0xD9", "Timeout CAN-Botschaft EGS1", "0x24", "0x1C", "0x36", "0x4E"
LINE "0xDB", "CAN bus_off", "0x24", "0x1C", "0x36", "0x4E"
LINE "0xDC", "NKAT-Sondenspannung, Sonde zu langsam BK1", "0x24", "0x1C", "0x36", "0x54"
LINE "0xDD", "NKAT-Sondenspannung, Sonde zu langsam BK2", "0x24", "0x1C", "0x36", "0x56"
LINE "0xDE", "Lambdaregelung nach vorgegebener Zeit nicht aktiv", "0x24", "0x1C", "0x3A", "0x36"
LINE "0xDF", "Sprungzeit NKAT-Sonde BK1", "0x24", "0x1C", "0x36", "0x4F"
LINE "0xE0", "Sprungzeit NKAT-Sonde BK2", "0x24", "0x1C", "0x36", "0x50"
LINE "0xE1", "Sprungzeit NKAT-Sonde BK2", "0x59", "0x57", "0x09", "0x51"
LINE "0xE2", "Lambdatrimmregelung Nach-Kat-Bank 2", "0x5A", "0x58", "0x0A", "0x52"
LINE "0xE3", "Lambdareglerabweichung Bank 1", "0x24", "0x1C", "0x36", "0x18"
LINE "0xE4", "Lambdareglerabweichung Bank 2", "0x24", "0x1C", "0x36", "0x19"
LINE "0xE5", "Regelfrequenz Lambdasonde Bank 1", "0x24", "0x1C", "0x59", "0x1A"
LINE "0xE6", "Regelfrequenz Lambdasonde Bank 2", "0x24", "0x1C", "0x5A", "0x1B"
LINE "0xE7", "Sprungzeit Lambdasonde Bank 1", "0x24", "0x1C", "0x59", "0x1A"
LINE "0xE8", "Sprungzeit Lambdasonde Bank 2", "0x24", "0x1C", "0x5A", "0x1B"
LINE "0xE9", "Katalysatorwirkungsgrad Hauptkatalysator Bank 1", "0x24", "0x1C", "0x36", "0x3D"
LINE "0xEA", "Katalysatorwirkungsgrad Hauptkatalysator Bank 2", "0x24", "0x1C", "0x36", "0x3D"
LINE "0xEB", "Lambdatrimmregelung Vor-Kat-Bank 1", "0x59", "0x57", "0x09", "0x51"
LINE "0xEC", "Lambdatrimmregelung Vor-Kat-Bank 2", "0x5A", "0x58", "0x0A", "0x52"
LINE "0xEE", "Verbrennungsaussetzer Zylinder 1", "0x36", "0x25", "0x1F", "0x1D"
LINE "0xEF", "Verbrennungsaussetzer Zylinder 2", "0x36", "0x25", "0x1F", "0x1D"
LINE "0xF0", "Verbrennungsaussetzer Zylinder 3", "0x36", "0x25", "0x1F", "0x1D"
LINE "0xF1", "Verbrennungsaussetzer Zylinder 4", "0x36", "0x25", "0x1F", "0x1D"
LINE "0xF2", "Verbrennungsaussetzer Zylinder 5", "0x36", "0x25", "0x1F", "0x1D"
LINE "0xF3", "Verbrennungsaussetzer Zylinder 6", "0x36", "0x25", "0x1F", "0x1D"
LINE "0xF4", "Segmentzeitmessung fehlerhaft", "0x24", "0x1C", "0x36", "0x4E"
LINE "0xF5", "Sekundaerluftsystem Bank 1", "0x3A", "0x3F", "0x24", "0x4E"
LINE "0xF6", "Sekundaerluftsystem Bank 2", "0x3A", "0x3F", "0x24", "0x4E"
LINE "0xF7", "Sekundaerluftventil", "0x3A", "0x3F", "0x24", "0x1C"
LINE "0xF8", "NKAT-Sonde, Sondesignal nach SA unplausibel BK1", "0x24", "0x1C", "0x36", "0x54"
LINE "0xF9", "NKAT-Sonde, Sondesignal nach SA unplausibel BK2", "0x24", "0x1C", "0x36", "0x56"
LINE "0xFA", "Functional Check TEV", "0x24", "0x1C", "0x36", "0x0B"
LINE "0xXY", "unbekannter Fehlerort", "0x00", "0x00", "0x00", "0x00"
TEND

TBEG "FARTMATRIX"
HEAD "ORT", "A1_0", "A1_1", "A2_0", "A2_1", "A3_0", "A3_1", "A4_0", "A4_1", "A5_0", "A5_1", "A6_0", "A6_1", "A7_0", "A7_1", "A8_0", "A8_1"
LINE "0x01", "0x00", "0x21", "0x00", "0x19", "0x00", "0x73", "0x00", "0x00", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
